asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
IWM,RECENT,490,0.116,0.164,35.3,26.3,34.8,1.43,23,0.0,10.0,7.5
IWM,FULL,954,0.246,0.342,35.3,26.3,31.0,1.73,58,0.0,10.0,7.5
SPY,IS,1291,0.431,0.573,25.1,13.0,46.2,2.65,26,0.0,10.0,10.0
SPY,OOS,915,0.249,0.327,24.4,11.3,50.0,2.75,8,0.0,10.0,10.0
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,10.0,10.0
SPY,RECENT,2131,0.591,0.797,27.5,14.6,46.7,3.57,15,0.0,10.0,10.0
SPY,FULL,1593,0.493,0.66,27.5,14.6,46.3,3.02,41,0.0,10.0,10.0
QQQ,IS,2255,0.562,0.755,28.4,18.5,37.0,3.13,27,0.0,10.0,10.0
QQQ,OOS,4678,0.969,1.303,14.7,3.9,62.5,10.0,8,0.0,10.0,10.0
QQQ,HOLDOUT,3373,0.713,0.996,20.4,7.9,71.4,6.78,7,0.0,10.0,10.0
QQQ,RECENT,3956,0.829,1.137,20.4,7.9,66.7,10.0,15,0.0,10.0,10.0
QQQ,FULL,2866,0.666,0.903,28.4,18.5,47.6,4.86,42,0.0,10.0,10.0
SMH,IS,2170,0.45,0.617,33.0,28.7,32.4,1.97,34,0.0,10.0,10.0
SMH,OOS,4647,0.643,0.91,28.2,18.2,50.0,5.27,10,0.0,10.0,10.0
SMH,HOLDOUT,8333,1.032,1.483,35.2,16.4,66.7,4.02,12,0.0,10.0,10.0
SMH,RECENT,6686,0.868,1.239,35.2,24.5,59.1,4.43,22,0.0,10.0,10.0
SMH,FULL,3791,0.63,0.884,35.2,28.7,42.9,2.98,56,0.0,10.0,10.0
IWM,IS,922,0.246,0.333,31.6,19.2,29.4,1.7,34,0.0,10.0,10.0
IWM,OOS,604,0.135,0.187,23.7,12.4,22.2,1.65,9,0.0,10.0,10.0
IWM,HOLDOUT,184,0.042,0.059,18.1,14.9,33.3,1.0,12,0.0,10.0,10.0
IWM,RECENT,372,0.084,0.117,38.1,25.7,28.6,1.29,21,0.0,10.0,10.0
IWM,FULL,724,0.18,0.248,38.1,25.7,29.1,1.53,55,0.0,10.0,10.0
SPY,IS,1297,0.464,0.629,18.9,13.0,46.4,2.39,28,0.0,20.0,5.0
SPY,OOS,611,0.169,0.217,22.6,13.8,37.5,1.99,8,0.0,20.0,5.0
SPY,HOLDOUT,2468,0.771,1.071,15.6,7.1,44.4,2.6,9,0.0,20.0,5.0
SPY,RECENT,1638,0.483,0.644,22.6,17.1,41.2,2.29,17,0.0,20.0,5.0
SPY,FULL,1419,0.47,0.632,22.6,17.1,44.4,2.35,45,0.0,20.0,5.0
QQQ,IS,2278,0.593,0.793,27.0,21.6,36.7,2.81,30,0.0,20.0,5.0
QQQ,OOS,5159,1.17,1.638,19.0,13.3,55.6,6.7,9,0.0,20.0,5.0
QQQ,HOLDOUT,4098,0.891,1.256,25.2,11.1,37.5,3.35,8,0.0,20.0,5.0
QQQ,RECENT,4572,1.013,1.423,25.2,16.3,47.1,4.73,17,0.0,20.0,5.0
QQQ,FULL,3102,0.757,1.034,27.0,21.6,40.4,3.53,47,0.0,20.0,5.0
SMH,IS,2430,0.536,0.738,35.1,25.3,37.8,2.76,37,0.0,20.0,5.0
SMH,OOS,2919,0.447,0.633,37.9,22.3,36.4,2.03,11,0.0,20.0,5.0
SMH,HOLDOUT,3393,0.44,0.61,34.4,30.6,46.7,1.71,15,0.0,20.0,5.0
SMH,RECENT,3182,0.441,0.617,44.8,30.6,42.3,1.82,26,0.0,20.0,5.0
SMH,FULL,2700,0.478,0.665,44.8,30.6,39.7,2.21,63,0.0,20.0,5.0
IWM,IS,1479,0.409,0.563,24.0,16.0,32.4,2.25,34,0.0,20.0,5.0
IWM,OOS,193,0.044,0.061,20.8,12.4,25.0,1.45,8,0.0,20.0,5.0
IWM,HOLDOUT,1015,0.238,0.343,15.9,14.9,36.4,1.51,11,0.0,20.0,5.0
IWM,RECENT,648,0.151,0.211,35.2,22.4,31.6,1.49,19,0.0,20.0,5.0
IWM,FULL,1181,0.304,0.423,35.2,22.4,32.1,1.93,53,0.0,20.0,5.0
SPY,IS,1377,0.472,0.636,22.0,13.0,40.7,2.48,27,0.0,20.0,7.5
SPY,OOS,1326,0.34,0.447,22.6,12.2,28.6,2.66,7,0.0,20.0,7.5
SPY,HOLDOUT,2629,0.781,1.068,18.8,7.2,37.5,3.35,8,0.0,20.0,7.5
SPY,RECENT,2047,0.567,0.758,25.5,15.5,33.3,2.94,15,0.0,20.0,7.5
SPY,FULL,1617,0.508,0.682,25.5,15.5,38.1,2.66,42,0.0,20.0,7.5
QQQ,IS,2402,0.605,0.811,32.3,23.8,39.3,3.0,28,0.0,20.0,7.5
QQQ,OOS,5452,1.154,1.601,20.4,12.1,50.0,7.58,8,0.0,20.0,7.5
QQQ,HOLDOUT,4715,1.01,1.443,19.5,9.1,57.1,4.6,7,0.0,20.0,7.5
QQQ,RECENT,5044,1.075,1.515,22.9,15.2,53.3,5.93,15,0.0,20.0,7.5
QQQ,FULL,3350,0.79,1.081,32.3,23.8,44.2,4.01,43,0.0,20.0,7.5
SMH,IS,2657,0.561,0.775,35.1,25.3,33.3,2.42,33,0.0,20.0,7.5
SMH,OOS,1635,0.249,0.347,39.8,33.7,33.3,1.76,12,0.0,20.0,7.5
SMH,HOLDOUT,8035,0.996,1.426,34.8,27.9,50.0,3.43,12,0.0,20.0,7.5
SMH,RECENT,5175,0.697,0.987,46.7,40.0,41.7,2.43,24,0.0,20.0,7.5
SMH,FULL,3561,0.609,0.854,46.7,40.0,36.8,2.43,57,0.0,20.0,7.5
IWM,IS,1077,0.287,0.393,25.7,15.7,30.3,1.87,33,0.0,20.0,7.5
IWM,OOS,853,0.193,0.271,20.8,12.4,12.5,1.79,8,0.0,20.0,7.5
IWM,HOLDOUT,781,0.179,0.257,16.2,14.9,36.4,1.44,11,0.0,20.0,7.5
IWM,RECENT,813,0.185,0.263,35.3,26.3,26.3,1.6,19,0.0,20.0,7.5
IWM,FULL,982,0.246,0.342,35.3,26.3,28.8,1.76,52,0.0,20.0,7.5
SPY,IS,1291,0.431,0.573,25.1,13.0,46.2,2.65,26,0.0,20.0,10.0
SPY,OOS,1086,0.277,0.363,25.1,11.3,28.6,2.57,7,0.0,20.0,10.0
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,20.0,10.0
SPY,RECENT,2208,0.593,0.798,28.2,14.6,35.7,3.38,14,0.0,20.0,10.0
SPY,FULL,1620,0.494,0.661,28.2,14.6,42.5,2.97,40,0.0,20.0,10.0
QQQ,IS,2119,0.519,0.69,28.4,18.5,34.6,2.77,26,0.0,20.0,10.0
QQQ,OOS,5507,1.103,1.506,14.7,3.9,57.1,10.0,7,0.0,20.0,10.0
QQQ,HOLDOUT,3980,0.824,1.16,20.4,7.5,50.0,6.3,6,0.0,20.0,10.0
QQQ,RECENT,4663,0.951,1.319,20.4,7.5,53.8,10.0,13,0.0,20.0,10.0
QQQ,FULL,3032,0.69,0.935,28.4,18.5,41.0,4.51,39,0.0,20.0,10.0
SMH,IS,2474,0.498,0.682,37.2,26.6,32.3,2.2,31,0.0,20.0,10.0
SMH,OOS,5279,0.712,1.01,29.5,18.2,44.4,6.15,9,0.0,20.0,10.0
